id,name,code,user_type_id/id,chart_template_id/id,reconcile
l10n_cj_101213,其他货币资金\支付宝,101213,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_101215,其他货币资金\京东,101215,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_101217,其他货币资金\拼多多,101217,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_1122,应收账款,1122,account.data_account_type_receivable,l10n_cj.l10n_chart_cj,True
l10n_cj_112304,预付账款\购货款,112304,account.data_account_type_prepayments,l10n_cj.l10n_chart_cj,False
l10n_cj_112399,预付账款\其他,112399,account.data_account_type_prepayments,l10n_cj.l10n_chart_cj,False
l10n_cj_14050204,库存商品\外购商品\酒类,14050204,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_140599,库存商品\库存商品,140599,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_140601,发出商品\直销,140601,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_140603,发出商品\商超,140603,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_141404,包装物\瓶类,141404,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_141499,包装物\包装物,141499,account.data_account_type_current_assets,l10n_cj.l10n_chart_cj,False
l10n_cj_2202,应付账款,2202,account.data_account_type_payable,l10n_cj.l10n_chart_cj,True
l10n_cj_220301,预收账款\非地产板块,220301,account.data_account_type_payable,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010103,应交税费\应交增值税\进项税额\6%,2221010103,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010104,应交税费\应交增值税\进项税额\5%,2221010104,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010105,应交税费\应交增值税\进项税额\3%,2221010105,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010106,应交税费\应交增值税\进项税额\16%,2221010106,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010107,应交税费\应交增值税\进项税额\10%,2221010107,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010108,应交税费\应交增值税\进项税额\13%,2221010108,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010109,应交税费\应交增值税\进项税额\9%,2221010109,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_22210104,应交税费\应交增值税\转出未交增值税,22210104,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010703,应交税费\应交增值税\销项税额\6%,2221010703,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010706,应交税费\应交增值税\销项税额\16%,2221010706,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_2221010708,应交税费\应交增值税\销项税额\13%,2221010708,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_22210109,应交税费\应交增值税\进项税额转出,22210109,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_222102,应交税费\未交增值税,222102,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_222115,应交税费\应交印花税,222115,account.data_account_type_current_liabilities,l10n_cj.l10n_chart_cj,True
l10n_cj_4103,本年利润,4103,account.data_account_type_equity,l10n_cj.l10n_chart_cj,False
l10n_cj_410498,利润分配\未分配利润,410498,account.data_unaffected_earnings,l10n_cj.l10n_chart_cj,False
l10n_cj_600107,主营业务收入\其他,600107,account.data_account_type_revenue,l10n_cj.l10n_chart_cj,False
l10n_cj_60011099,主营业务收入\酒业销售\其他,60011099,account.data_account_type_revenue,l10n_cj.l10n_chart_cj,False
l10n_cj_605199,其他业务收入\其他,605199,account.data_account_type_other_income,l10n_cj.l10n_chart_cj,False
l10n_cj_630199,营业外收入\其他,630199,account.data_account_type_other_income,l10n_cj.l10n_chart_cj,False
l10n_cj_64011099,主营业务成本\酒业销售\其他,64011099,account.data_account_type_expenses,l10n_cj.l10n_chart_cj,False
l10n_cj_640299,其他业务成本\其他,640299,account.data_account_type_expenses,l10n_cj.l10n_chart_cj,False
l10n_cj_660159,销售费用\运输费,660159,account.data_account_type_expenses,l10n_cj.l10n_chart_cj,False
l10n_cj_640299,其他业务成本\其他,640299,account.data_account_type_direct_costs,l10n_cj.l10n_chart_cj,False
l10n_cj_660240,管理费用\存货损失,660240,account.data_account_type_expenses,l10n_cj.l10n_chart_cj,False
